연번,관할,기관명칭,소재지(도로명주소),세부위치,전화번호
95,부평구,삼산1동 행정복지센터,인천광역시 부평구 후정동로 9(삼산동),행정복지센터 1층 입구,032-509-8440
96,부평구,삼산2동 행정복지센터,인천광역시 부평구  굴포로 137(삼산동),행정복지센터 1층 입구,032-509-8450
97,부평구,부개1동 행정복지센터,인천광역시 부평구 동수로162번길 11 (부개동),행정복지센터 1층 민원실 내,032-509-8460
98,부평구,부개2동 행정복지센터,인천광역시 부평구 동수천로 104(부개동),행정복지센터 1층 입구,032-509-8470
99,부평구,부개3동 행정복지센터,인천광역시 부평구 길주남로 117(부개동),행정복지센터 1층 민원실 내,032-509-8480
100,부평구,일신동 행정복지센터,인천광역시 부평구 경인로 1148번길 6(일신동),행정복지센터 1층 입구,032-509-8490
101,부평구,십정1동 행정복지센터,"인천광역시 부평구 열우물로 103, 2층(십정동)",행정복지센터 2층 민원실 내,032-509-8604
102,부평구,십정2동 행정복지센터,인천광역시 부평구 동암산로33번길 6-7(십정동),행정복지센터 1층 민원실 내,032-509-8610
103,계양구,계양구보건소,인천광역시 계양구 계산새로 88,보건소 1층 민원실,032-430-7809
104,계양구,계양구보건소,인천광역시 계양구 계산새로 88,보건소 2층 감염병관리과,032-430-7816
105,계양구,온누리건강백화점약국,계양구 계양문화로 96,약국 내,032-545-1535
106,계양구,굿모닝약국,계양구 장제로 912,약국 내,032-556-6688
107,계양구,동양약국,계양구 동양로 103,약국 내,032-553-7999
108,계양구,고려원약국,계양구 경명대로 1074,약국 내,032-541-0248
109,계양구,태평양약국,계양구 계양대로 149,약국 내,032-547-3882
110,계양구,작전메디칼약국,계양구 게양대로 85,약국 내,032-551-4500
111,계양구,우리팜약국,계양구 게양대로 53,약국 내,032-551-7535
112,계양구,명문약국,계양구 아나지로 191,약국 내,032-546-5254
113,계양구,유원약국,계양구 장제로 718,약국 내,032-551-5650
114,계양구,열린대학약국,계양구 장제로 728,약국 내,032-541-1662
115,계양구,판도라계양메디칼약국,계양구 오조산로7번길 6-14,약국 내,032-542-3858
116,계양구,계산프라자약국,계양구 용종로 2,약국 내,032-554-6232
117,계양구,계양1동주민센터,계양구 장기서로8,센터 내,032-450-4860
118,계양구,계양2동행정복지센터,계양구 장제로 916 3층,센터 내,032-450-4880
119,계양구,계양3동 행정복지센터,계양구 양지로 31,센터 내,032-430-7910
120,계양구,계산1동행정복지센터,계양구 향교로 24,센터 내,032-450-4740
121,계양구,계산2동행정복지센터,계양구 주부토로 559,센터 내,032-450-4760
122,계양구,계산3동행정복지센터,계양구 계산새로7,센터 내,032-450-4780
123,계양구,계산4동행정복지센터,계양구 용종로 12-8,센터 내,032-450-4960
124,계양구,효성1동주민센터,계양구 봉오대로569번길 22,센터 내,032-450-4700
125,계양구,효성2동주민센터,계양구 아나지로 162,센터 내,032-450-4720
126,계양구,작전1동행정복지센터,계양구 봉오대로 727,센터 내,032-450-4800
127,계양구,작전2동행정복지센터,계양구 봉오대로 677번길 23,센터 내,032-450-4820
128,계양구,작전서운동 행정복지센터,계양구 효서로 361,센터 내,032-450-4840
129,서구,생동온누리약국,"인천광역시 서구 완정로 153, 이레메디칼센타 1층 101호 (왕길동)",약국 내,032-568-1589
130,서구,가좌한마음약국,"인천광역시 서구 원적로 85, 우신프라자 2층 210호 (가좌동)",약국 내,032-571-7582
131,서구,검단온누리약국,"인천광역시 서구 완정로 18, 한윤메디칼 104호 (마전동)",약국 내,032-564-8894
132,서구,가온약국,"인천광역시 서구 봉오재3로 90, 한일골드타워 (가정동)",약국 내,032-567-0879
133,서구,딸기약국,인천광역시 서구 장고개로337번길 16 (가좌동),약국 내,032-573-5670
134,서구,편안한약국,인천광역시 서구 원적로27번길 11 (가좌동),약국 내,032-583-1133
135,서구,성누가약국,"인천광역시 서구 탁옥로 55, SM스카이빌 (심곡동)",약국 내,032-565-5250
136,서구,옵티마정다운약국,인천광역시 서구 가정로 204 (석남동),약국 내,032-579-4456
137,서구,행복한약국,"인천광역시 서구 승학로 497, 검암프라자 109호 (검암동)",약국 내,070-7792-5502
138,서구,이삭약국,"인천광역시 서구 율도로 62-1, 1층 (석남동)",약국 내,032-267-7582
139,서구,하늘약국,"인천광역시 서구 가정로 372, 1층 일부호 (가정동)",약국 내,032-576-2020
140,서구,보성메디컬약국,"인천광역시 서구 완정로 179, 102호,103호 (왕길동, 제이원검단메디컬프라자)",약국 내,032-567-0167
141,서구,삼육오사랑약국,"인천광역시 서구 칠천왕로33번길 14, 1층 일부호 (석남동)",약국 내,032-575-6849
142,서구,열린솔약국,"인천광역시 서구 검단로768번길 2, 105호 (불로동, 불로메디컬)",약국 내,032-565-3135
143,서구,건지약국,"인천광역시 서구 신진말로 30, 1층 (가좌동, 쌍용체육관)",약국 내,032-571-7572
144,서구,메디팜우리들약국,"인천광역시 서구 완정로 187, 101호 (왕길동, 마전메디칼센타)",약국 내,032-561-0978
145,서구,성모사랑약국,인천광역시 서구 심곡로100번길 15 (심곡동),약국 내,032-565-2933
146,서구,명문약국,"인천광역시 서구 봉오재3로 44, 101호 (가정동, 명문프라자)",약국 내,032-721-7220
147,서구,조은나라약국,"인천광역시 서구 검단로 842, 206호 (불로동, 월드불로마트)",약국 내,032-565-4090
148,서구,경서메디칼약국,"인천광역시 서구 도요지로 22, 103호 (경서동, 대영프라자)",약국 내,032-562-4001
149,서구,드림약국,"인천광역시 서구 승학로 498, 108호 (검암동, 서해프라자)",약국 내,070-7619-2828
150,서구,새봄약국,"인천광역시 서구 탁옥로 49, 404호 (심곡동, 제스트프라자)",약국 내,032-562-6610
151,서구,메디안약국,"인천광역시 서구 검단로623번길 4, 105호 (마전동, 세창프라자)",약국 내,032-567-2463
152,서구,사랑탑약국,"인천광역시 서구 청마로19번길 3, 1층 (당하동, 드림빌딩)",약국 내,032-569-7117
153,서구,열린온누리약국,"인천광역시 서구 단봉로 97-7, 108호 (오류동)",약국 내,070-8828-9179
154,서구,가정미소약국,"인천광역시 서구 봉오재3로 42, 102호 (가정동)",약국 내,032-567-3012
155,서구,푸른솔약국,"인천광역시 서구 고산후로95번길 32, 102호 (당하동, 명진프라자)",약국 내,032-563-0236
156,서구,해봄약국,"인천광역시 서구 장고개로337번길 7, A동 103호 (가좌동)",약국 내,032-571-3857
157,서구,가정온누리약국,"인천광역시 서구 청중로 486, 105호 (가정동, 부일프라자)",약국 내,032-566-7809
158,서구,정온누리약국,"인천광역시 서구 가정로 142-1, 1층 (가좌동, 호진 빌딩)",약국 내,032-577-7606
159,서구,성민대학약국,"인천광역시 서구 길주로75번길 35, 1층 (석남동)",약국 내,032-571-2812
160,서구,플러스약국,"인천광역시 서구 칠천왕로33번길 18, 1층 (석남동)",약국 내,032-575-9917
161,서구,한마음한약국,"인천광역시 서구 심곡로 79, 3층 (심곡동, 우정상가)",약국 내,032-501-1145
162,서구,우리약국,"인천광역시 서구 서달로 159, 102호 (석남동)",약국 내,032-579-8150
163,서구,연희연세약국,"인천광역시 서구 서곶로369번길 24, 1층 (연희동)",약국 내,032-566-9380
164,서구,검단미래안약국,"인천광역시 서구 검단로 469, 101호 (왕길동)",약국 내,032-566-9037
165,서구,착한약국,"인천광역시 서구 완정로 180, 1층 (마전동, 동화빌딩)",약국 내,032-563-7803
166,서구,토마토약국,"인천광역시 서구 심곡로100번길 17-3, 1~3층 (심곡동)",약국 내,032-567-5860
167,서구,미소탑약국,"인천광역시 서구 청마로 17, 1층 (당하동, 준성빌딩)",약국 내,032-566-0182
168,서구,연세온누리약국,"인천광역시 서구 승학로 321, 1층 (연희동)",약국 내,032-561-2212
169,서구,산들약국,"인천광역시 서구 검단로 474, 102호 (왕길동, 뷰비스타운)",약국 내,032-564-9133
170,서구,백제당약국,"인천광역시 서구 연희로 12, 1층 (연희동)",약국 내,032-562-3049
171,서구,함께약국,"인천광역시 서구 서곶로 823, 1층 (당하동)",약국 내,032-567-3828
172,서구,복지온누리약국,"인천광역시 서구 탁옥로 37, 1층 107호 (심곡동, 우리타워)",약국 내,032-568-5538
173,서구,녹십자약국,"인천광역시 서구 서곶로 293, 1층 (심곡동)",약국 내,032-566-8600
174,서구,원당연세약국,"인천광역시 서구 원당대로 866, 201호 (당하동, 세브란스빌딩)",약국 내,032-569-2773
175,서구,제일약국,"인천광역시 서구 심곡로 133, 대동상가동 1층 111호 (심곡동)",약국 내,032-564-8421
176,서구,크린팜대학약국,"인천광역시 서구 심곡로100번길 17-5, 1층 (심곡동)",약국 내,032-567-8874
177,서구,에버그린약국,"인천광역시 서구 건지로 371, 1층 1호 (가좌동)",약국 내,032-582-7799
178,서구,동안약국,"인천광역시 서구 승학로 567, 101호 (검암동)",약국 내,070-7768-6776
179,서구,참조은약국,"인천광역시 서구 마전로5번길 22-1, 101호 (마전동)",약국 내,032-438-8866
180,서구,검단제일약국,"인천광역시 서구 완정로 197, 103,104호 (왕길동)",약국 내,032-564-1588
181,서구,올리브약국,"인천광역시 서구 원당대로 663, 103호 (마전동, 한종프라자)",약국 내,032-566-5505
182,서구,비타민약국,"인천광역시 서구 가정로 375, 310호,311호 (신현동, 금강아미움)",약국 내,032-575-8899
183,서구,굿모닝약국,인천광역시 서구 가정로 364-1 (가정동),약국 내,032-579-7571
184,서구,경희기경한약국,"인천광역시 서구 고산후로95번길 10, 뉴시티프라자 109호 (당하동)",약국 내,032-561-1887
185,서구,석남우리약국,인천광역시 서구 가정로 291 (석남동),약국 내,032-575-6006
186,서구,열린약국,"인천광역시 서구 가정로 364, 1층 (가정동)",약국 내,032-579-4242
187,서구,행복한약국,인천광역시 서구 가정로 213 (석남동),약국 내,070-7792-5502
188,서구,미약국,"인천광역시 서구 고산후로95번길 20, 108호, 109호 (당하동, 힘찬프라자)",약국 내,032-568-8998
189,서구,한샘약국,"인천광역시 서구 원적로 29, 나동 4호 (가좌동, 한샘상가)",약국 내,032-583-1536
190,서구,성민메디칼약국,인천광역시 서구 신석로 68 (석남동),약국 내,032-577-6245
191,서구,일화약국,"인천광역시 서구 장고개로337번길 16, 408호 (가좌동)",약국 내,032-576-9321
192,서구,검단튼튼약국,"인천광역시 서구 청마로19번길 20, 103호 (당하동)",약국 내,032-569-7535
193,서구,프라자약국,"인천광역시 서구 원당대로 660, 1층 101-1호 (당하동)",약국 내,032-565-8106
194,서구,한솔약국,"인천광역시 서구 가정로 382 (가정동, 새인천상가)",약국 내,032-572-7633
195,서구,누리약국,"인천광역시 서구 검단로445번길 18, 107-1호 (왕길동, SM프라자)",약국 내,032-567-0344
196,서구,사랑온누리약국,"인천광역시 서구 검단로 500 (마전동, 플러스빌딩)",약국 내,032-568-5706
197,서구,거북시장약국,인천광역시 서구 거북로 97 (석남동),약국 내,032-575-6881
198,서구,정다운온누리약국,"인천광역시 서구 가정로 398, 105호 (가정동, 서해프라자)",약국 내,032-584-9348
199,서구,하나약국,"인천광역시 서구 단봉로 107, 104호 (왕길동, 성우프라자)",약국 내,032-563-1558
200,서구,한성메디칼약국,"인천광역시 서구 완정로 36, 1층 (마전동, 한성빌딩)",약국 내,032-567-5345
201,서구,단오약국,"인천광역시 서구 완정로178번길 31 (마전동, 목화아파트)",약국 내,032-563-3245
202,서구,늘건강온누리약국,"인천광역시 서구 승학로 491, 105호 (검암동)",약국 내,032-569-2306
203,서구,원광한약국,"인천광역시 서구 탁옥로98번길 1, 106호 (심곡동)",약국 내,032-564-7757
204,서구,정성약국,"인천광역시 서구 가정로 201-1, 1층 (석남동, 두일빌딩)",약국 내,032-579-0075
205,서구,조은약국,인천광역시 서구 거북로 98 (석남동),약국 내,032-576-7530
206,서구,원당우리약국,"인천광역시 서구 원당대로 859, 107호 (원당동, 원당메디칼프라자)",약국 내,032-568-1591
207,서구,성심약국,"인천광역시 서구 검단로768번1길 4, 1층 (불로동, 세인빌딩)",약국 내,032-564-5389
208,서구,메디탑약국,"인천광역시 서구 청마로19번길 9, 101호 (당하동)",약국 내,032-564-6924
209,서구,즐거운약국,"인천광역시 서구 원당대로 581 (마전동, 롯데마트)",약국 내,032-574-1651
210,서구,연희우리약국,인천광역시 서구 심곡로 24 (심곡동),약국 내,032-566-4258
211,서구,오렌지약국,"인천광역시 서구 가정로 375, 104호 (신현동, 금강아미움상가)",약국 내,032-563-2474
212,서구,가좌메디칼약국,인천광역시 서구 원적로96번길 26 (가좌동),약국 내,032-579-8653
213,서구,검단마트약국,인천광역시 서구 서곶로 754 (당하동),약국 내,032-564-7588
214,서구,그린약국,인천광역시 서구 탁옥로 45 (심곡동),약국 내,032-569-4037
215,서구,메디팜약수약국,인천광역시 서구 서달로123번길 3 (석남동),약국 내,032-574-6815
216,서구,마전메디칼약국,인천광역시 서구 완정로 187 (왕길동),약국 내,032-561-0396
217,서구,성모약국,"인천광역시 서구 원창로 174, 102,103호 (신현동)",약국 내,032-583-6083
218,서구,동아메디칼약국,인천광역시 서구 원적로 85 (가좌동),약국 내,032-579-5793
219,서구,백제약국,"인천광역시 서구 검단로 480 (왕길동, 검단리치웰프라자)",약국 내,032-569-7582
220,서구,온누리이화약국,인천광역시 서구 거북로 115 (석남동),약국 내,032-571-2569
221,서구,당하백화점약국,"인천광역시 서구 청마로167번길 8 (당하동, 강남프라자빌딩 106호)",약국 내,032-564-8218
222,서구,서울약국,"인천광역시 서구 검단로 836, 217호 (불로동, 월드상가)",약국 내,032-564-0030
223,서구,새연희약국,인천광역시 서구 서곶로 355-1 (연희동),약국 내,032-567-3186
224,서구,수약국,"인천광역시 서구 완정로 70, 211호 (마전동, 영남탑스빌아파트 상가)",약국 내,032-561-2920
225,서구,미소약국,"인천광역시 서구 원당대로 841 (원당동, 골든벨프라자)",약국 내,032-567-7772
226,서구,맑은약국,인천광역시 서구 명가골로 37 (석남동),약국 내,032-581-0580
227,서구,신현프라자약국,인천광역시 서구 율도로 55 (신현동),약국 내,032-575-1389
228,서구,당하메디칼약국,인천광역시 서구 청마로 163 (당하동),약국 내,032-566-0771
229,서구,가좌마트약국,"인천광역시 서구 가정로151번길 11, 2층 (가좌동)",약국 내,032-571-6555
230,서구,참사랑약국,"인천광역시 서구 검단로 836, 212,213호 (불로동, 월드아파트 중앙상가)",약국 내,032-563-8810
231,서구,푸른약국,인천광역시 서구 심곡로194번길 1 (공촌동),약국 내,032-563-6490
232,서구,연세약국,"인천광역시 서구 승학로 577, 111호 (검암동, 장은프라자)",약국 내,032-562-5620
233,서구,위드팜100세약국,"인천광역시 서구 완정로 35 (마전동, 대운프라자)",약국 내,032-565-1201
234,서구,정든약국,인천광역시 서구 가정로 124 (가좌동),약국 내,032-581-9916
235,서구,성심메디팜약국,인천광역시 서구 원적로 100 (가좌동),약국 내,032-575-5556
236,서구,성호약국,"인천광역시 서구 원적로 85, 310호 (가좌동, 우신프라자)",약국 내,032-572-5999
237,서구,한사랑약국,인천광역시 서구 서곶로 281 (심곡동),약국 내,032-568-5711
238,서구,굿윌드림약국,인천광역시 서구 원적로 103 (가좌동),약국 내,032-574-4793
239,서구,천사약국,인천광역시 서구 가정로 363 (신현동),약국 내,032-579-8735
240,서구,푸른건강약국,인천광역시 서구 가정로 370 (가정동),약국 내,032-571-9206
241,서구,서광약국,인천광역시 서구 원적로 100 (가좌동),약국 내,032-572-6635
242,서구,그린온누리약국,"인천광역시 서구 완정로 187, 103호 (왕길동, 마전메디칼센타)",약국 내,032-561-1775
243,서구,메디팜성모약국,인천광역시 서구 원적로 29 (가좌동),약국 내,032-576-2028
244,서구,한결약국,인천광역시 서구 고래울로 4 (가좌동),약국 내,032-584-0457
245,서구,중앙약국,인천광역시 서구 길주로75번길 36 (석남동),약국 내,032-582-5919
246,서구,대학약국,인천광역시 서구 새오개로 37 (석남동),약국 내,032-574-6237
247,서구,그랜드약국,인천광역시 서구 가정로 308 (석남동),약국 내,032-581-8449
248,서구,한국약국,인천광역시 서구 서달로163번길 9 (석남동),약국 내,032-581-9297
249,서구,보건약국,"인천광역시 서구 거북로 104 (석남동, 한승빌딩)",약국 내,032-582-2761
250,서구,옥신온누리약국,인천광역시 서구 고래울로 29 (가좌동),약국 내,032-577-8963
251,서구,사랑의약국,인천광역시 서구 원적로 96 (가좌동),약국 내,032-577-4241
252,서구,청우약국,인천광역시 서구 가정로 202 (석남동),약국 내,032-571-2455
253,서구,가좌약국,인천광역시 서구 건지로318번길 32 (가좌동),약국 내,032-571-3183
254,서구,명성약국,인천광역시 서구 신진말로 37-1 (가좌동),약국 내,032-577-6558
255,서구,자생약국,인천광역시 서구 거북로 74-1 (석남동),약국 내,032-571-6066
256,서구,늘봄약국,"인천광역시 서구 길주로136번길 32-1, 1층 (석남동)",약국 내,032-573-6012
257,서구,서구보건소,"인천광역시 서구 탁옥로 39, 1층",보건소 내,032-718-0424
258,강화군,감초약국,강화읍 강화대로 431,약국 내,032-934-6462
259,강화군,강화명약국,강화읍강화대로312번길 12,약국 내,032-932-2932
260,강화군,강화약국,강화읍중앙로 43,약국 내,032-934-5550
261,강화군,강화종로약국,강화읍강화대로 387,약국 내,032-932-0497
262,강화군,다나약국,강화읍동문안길 9-1,약국 내,032-932-8575
263,강화군,큰샘온누리약국,강화읍중앙로 9,약국 내,032-934-0700
264,강화군,세광약국,선원면중앙로 259,약국 내,032-934-2249
265,강화군,부흥약국,내가면 강화서로 223,약국 내,032-932-5918
266,강화군,신세계약국,강화읍중앙로 23,약국 내,032-934-5424
267,강화군,바다약국,내가면중앙로 1312,약국 내,032-933-0010
268,강화군,유신약국,길상면온수길36번길 2,약국 내,032-937-0020
269,강화군,이화약국,강화읍중앙로 27,약국 내,032-934-5534
270,강화군,재경약국,강화읍강화대로 412,약국 내,032-934-4741
271,강화군,전등약국,길상면온수길 23,약국 내,032-937-8219
272,강화군,메디팜조은약국,강화읍중앙로 45,약국 내,032-933-9422
